customer_ID,Platform,Content,TimeStamp,Sentiment Score,Intent
CUST2025UD,Facebook,Test shots with my new Sony Alpha 📸,2025-02-27 21:47:56,-0.54,Complaint
CUST2025UD,Facebook,Finally got the new iPhone! 📱,2024-11-04 09:13:33,0.04,Purchase Intent
CUST2025UD,Instagram,Finally got the new iPhone! 📱,2024-12-18 04:26:06,-0.5,Purchase Intent
CUST2025UD,Instagram,Trader Joe's has the best snacks!,2024-10-20 18:40:27,-0.08,Feedback
CUST2025UD,Facebook,Weekly grocery haul from Walmart 🛒,2025-01-31 01:30:55,-0.58,Complaint
CUST2025BV,Twitter,Trader Joe's has the best snacks!,2024-09-26 20:44:28,0.4,Feedback
CUST2025BV,Facebook,Late night cravings? Uber Eats to the rescue 🍕,2025-01-17 18:17:28,0.76,Feedback
CUST2025BV,Facebook,Netflix & chill kind of evening 🎬,2025-02-05 19:13:05,-0.43,Complaint
CUST2025BV,Instagram,Equinox workouts hit different 💪,2025-03-11 22:58:37,-0.92,Complaint
CUST2025XT,Twitter,MacBook setup day! Love it 😍,2024-11-08 16:29:20,0.21,Purchase Intent
CUST2025XT,Instagram,Just landed in the Maldives 🌴 #vacationvibes,2024-11-09 23:06:07,0.31,General Sentiment
CUST2025CK,Facebook,Shopping spree at Louis Vuitton today 💼✨,2025-03-21 13:27:41,-0.71,Purchase Intent
CUST2025CK,Instagram,Just landed in the Maldives 🌴 #vacationvibes,2025-03-02 06:50:06,-0.08,General Sentiment
CUST2025CK,Facebook,Trader Joe's has the best snacks!,2024-11-27 13:46:17,0.14,Feedback
CUST2025CK,Instagram,Late night cravings? Uber Eats to the rescue 🍕,2025-03-06 21:45:04,-0.99,Feedback
CUST2025CK,Facebook,Test shots with my new Sony Alpha 📸,2024-12-10 06:34:56,0.36,General Sentiment
CUST2025KG,Twitter,Late night cravings? Uber Eats to the rescue 🍕,2025-02-12 21:55:09,0.13,Feedback
CUST2025KG,Instagram,GrubHub never disappoints 😋,2024-10-30 03:52:56,-0.16,Feedback
CUST2025KG,Facebook,Late night cravings? Uber Eats to the rescue 🍕,2024-10-03 08:01:01,0.77,Feedback
CUST2025KG,Twitter,Test shots with my new Sony Alpha 📸,2025-02-15 13:47:56,0.27,General Sentiment
CUST2025KG,Twitter,Exploring some new commercial spaces for my next venture!,2025-02-08 23:43:59,0.37,General Sentiment
CUST2025QV,Facebook,Netflix & chill kind of evening 🎬,2025-02-02 18:06:41,0.52,General Sentiment
CUST2025QV,Twitter,Can't wait for my business trip to London! 🛫,2025-01-28 11:26:22,-0.81,Purchase Intent
CUST2025QV,Instagram,Retail leasing is the next big move 🏢,2025-03-15 00:11:05,0.73,Feedback
CUST2025QV,Twitter,Shopping spree at Louis Vuitton today 💼✨,2024-11-02 17:24:48,-0.25,Purchase Intent
CUST2025SK,Facebook,Loving my new Gucci outfit! #fashion #luxury,2024-11-30 02:48:54,0.09,Feedback
CUST2025SK,Twitter,Back on the grind at Planet Fitness 🏋️,2024-12-24 05:09:24,0.09,General Sentiment
CUST2025SK,Twitter,Retail leasing is the next big move 🏢,2024-11-21 15:55:14,-0.73,Complaint
CUST2025SK,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-02-28 00:34:19,0.61,Feedback
CUST2025MZ,Twitter,Equinox workouts hit different 💪,2024-12-05 10:58:32,-0.72,Complaint
CUST2025MZ,Facebook,Netflix & chill kind of evening 🎬,2024-12-31 22:48:43,-0.86,Complaint
CUST2025GO,Twitter,Netflix & chill kind of evening 🎬,2024-09-29 04:32:41,0.28,General Sentiment
CUST2025GO,Instagram,Back on the grind at Planet Fitness 🏋️,2024-10-11 02:32:58,0.27,General Sentiment
CUST2025GO,Facebook,Canon EOS is perfect for portraits!,2025-02-24 00:36:21,0.94,Feedback
CUST2025GO,Facebook,Weekly grocery haul from Walmart 🛒,2025-03-08 01:09:30,-0.9,Complaint
CUST2025GO,Twitter,Trader Joe's has the best snacks!,2025-01-27 12:44:16,0.42,Feedback
CUST2025BS,Twitter,Loving my new Gucci outfit! #fashion #luxury,2024-11-30 13:44:55,-0.36,Feedback
CUST2025LG,Facebook,Shopping spree at Louis Vuitton today 💼✨,2024-11-18 20:01:30,0.73,Purchase Intent
CUST2025LG,Facebook,Retail leasing is the next big move 🏢,2025-03-10 22:32:43,-0.94,Complaint
CUST2025DV,Facebook,Back on the grind at Planet Fitness 🏋️,2025-02-10 05:52:45,0.14,General Sentiment
CUST2025DV,Twitter,Retail leasing is the next big move 🏢,2024-11-04 12:16:20,0.79,Feedback
CUST2025DV,Twitter,Trader Joe's has the best snacks!,2025-03-18 21:49:28,-0.93,Feedback
CUST2025SJ,Instagram,Exploring some new commercial spaces for my next venture!,2025-01-21 06:25:10,-0.19,General Sentiment
CUST2025SJ,Twitter,Finally got the new iPhone! 📱,2025-02-22 06:41:11,0.77,Purchase Intent
CUST2025BK,Facebook,Netflix & chill kind of evening 🎬,2025-01-18 09:55:41,-0.21,Complaint
CUST2025BK,Facebook,Equinox workouts hit different 💪,2025-01-07 00:03:59,0.35,General Sentiment
CUST2025BK,Instagram,Back on the grind at Planet Fitness 🏋️,2025-01-21 23:55:40,0.72,Feedback
CUST2025BK,Twitter,Trader Joe's has the best snacks!,2024-11-13 10:43:59,-0.56,Feedback
CUST2025BK,Instagram,Equinox workouts hit different 💪,2024-12-04 07:08:10,-0.58,Complaint
CUST2025CU,Facebook,Can't wait for my business trip to London! 🛫,2025-03-11 19:46:21,-0.95,Purchase Intent
CUST2025CU,Facebook,Test shots with my new Sony Alpha 📸,2024-09-30 00:58:03,-0.14,General Sentiment
CUST2025JT,Instagram,Back on the grind at Planet Fitness 🏋️,2024-10-01 21:09:21,-0.52,Complaint
CUST2025GI,Twitter,Exploring some new commercial spaces for my next venture!,2024-12-06 02:56:25,-0.34,Complaint
CUST2025GI,Twitter,MacBook setup day! Love it 😍,2025-03-21 19:40:38,-0.85,Purchase Intent
CUST2025GI,Twitter,Exploring some new commercial spaces for my next venture!,2025-01-18 09:08:38,-0.72,Complaint
CUST2025GI,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-01-05 06:15:59,0.94,Feedback
CUST2025EK,Facebook,Equinox workouts hit different 💪,2024-12-07 06:07:08,-0.17,General Sentiment
CUST2025EK,Instagram,GrubHub never disappoints 😋,2024-12-06 06:43:11,-0.85,Feedback
CUST2025EK,Instagram,Weekly grocery haul from Walmart 🛒,2025-03-04 11:17:42,0.57,General Sentiment
CUST2025EK,Facebook,Retail leasing is the next big move 🏢,2024-10-04 09:50:22,0.85,Feedback
CUST2025BJ,Twitter,Finally got the new iPhone! 📱,2025-03-18 14:00:38,0.11,Purchase Intent
CUST2025BJ,Facebook,Can't wait for my business trip to London! 🛫,2025-02-11 17:50:50,-0.13,Purchase Intent
CUST2025BJ,Twitter,Can't wait for my business trip to London! 🛫,2025-01-25 05:59:51,-0.08,Purchase Intent
CUST2025GZ,Twitter,Loving my new Gucci outfit! #fashion #luxury,2024-11-01 21:54:52,0.29,Feedback
CUST2025GZ,Facebook,Just binged the new season on Amazon Prime!,2025-02-11 23:11:47,0.23,General Sentiment
CUST2025GZ,Facebook,GrubHub never disappoints 😋,2024-10-20 06:22:02,0.95,Feedback
CUST2025QO,Instagram,MacBook setup day! Love it 😍,2025-02-14 02:13:58,-0.87,Purchase Intent
CUST2025QO,Instagram,Just landed in the Maldives 🌴 #vacationvibes,2024-11-13 11:20:51,0.75,Feedback
CUST2025QO,Twitter,Finally got the new iPhone! 📱,2024-12-06 02:36:03,0.48,Purchase Intent
CUST2025QO,Instagram,Just binged the new season on Amazon Prime!,2025-02-14 05:53:10,-0.82,Complaint
CUST2025YS,Instagram,Trader Joe's has the best snacks!,2024-12-19 03:18:43,0.63,Feedback
CUST2025YS,Instagram,MacBook setup day! Love it 😍,2024-11-03 04:03:15,0.48,Purchase Intent
CUST2025YS,Instagram,Just binged the new season on Amazon Prime!,2024-12-17 18:24:14,0.18,General Sentiment
CUST2025YS,Facebook,MacBook setup day! Love it 😍,2025-03-12 20:41:52,-0.65,Purchase Intent
CUST2025YT,Facebook,Late night cravings? Uber Eats to the rescue 🍕,2024-11-16 05:14:21,-0.21,Feedback
CUST2025YT,Facebook,Finally got the new iPhone! 📱,2025-01-03 03:10:35,-0.37,Purchase Intent
CUST2025ZW,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-01-20 16:28:44,-0.74,Complaint
CUST2025ZW,Twitter,Test shots with my new Sony Alpha 📸,2024-09-26 10:55:56,-0.64,Complaint
CUST2025ZW,Twitter,Can't wait for my business trip to London! 🛫,2024-11-24 12:31:46,-0.0,Purchase Intent
CUST2025ZW,Facebook,Weekly grocery haul from Walmart 🛒,2024-09-29 03:23:04,-0.52,Complaint
CUST2025RA,Twitter,Test shots with my new Sony Alpha 📸,2025-01-08 14:45:39,-0.07,General Sentiment
CUST2025ZY,Instagram,Late night cravings? Uber Eats to the rescue 🍕,2025-02-10 04:40:40,-0.01,Feedback
CUST2025ZY,Facebook,Back on the grind at Planet Fitness 🏋️,2025-01-20 03:11:25,-0.02,General Sentiment
CUST2025ZY,Instagram,Canon EOS is perfect for portraits!,2024-09-26 16:09:57,0.18,General Sentiment
CUST2025BF,Facebook,Exploring some new commercial spaces for my next venture!,2024-10-23 03:20:04,-0.31,Complaint
CUST2025BF,Twitter,GrubHub never disappoints 😋,2024-10-10 09:21:54,-0.87,Feedback
CUST2025BF,Instagram,Exploring some new commercial spaces for my next venture!,2024-10-29 02:56:43,0.47,General Sentiment
CUST2025BF,Twitter,Just binged the new season on Amazon Prime!,2024-11-25 01:20:16,0.97,Feedback
CUST2025BF,Facebook,Late night cravings? Uber Eats to the rescue 🍕,2025-03-22 13:24:57,-0.8,Feedback
CUST2025RK,Facebook,Canon EOS is perfect for portraits!,2025-01-22 20:05:28,-0.52,Complaint
CUST2025RK,Facebook,Trader Joe's has the best snacks!,2024-12-17 12:13:15,0.67,Feedback
CUST2025RK,Facebook,Test shots with my new Sony Alpha 📸,2025-02-20 12:51:43,0.78,Feedback
CUST2025DM,Facebook,Test shots with my new Sony Alpha 📸,2025-03-08 03:27:56,0.21,General Sentiment
CUST2025DM,Twitter,Just binged the new season on Amazon Prime!,2024-12-20 04:02:16,0.14,General Sentiment
CUST2025DM,Twitter,Shopping spree at Louis Vuitton today 💼✨,2024-11-07 09:54:01,-0.89,Purchase Intent
CUST2025DM,Twitter,Shopping spree at Louis Vuitton today 💼✨,2025-02-14 17:05:07,0.52,Purchase Intent
CUST2025DM,Instagram,MacBook setup day! Love it 😍,2024-12-16 10:07:40,0.2,Purchase Intent
CUST2025LL,Twitter,Can't wait for my business trip to London! 🛫,2025-01-04 05:07:43,-0.78,Purchase Intent
CUST2025LL,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-02-19 07:23:24,-0.74,Complaint
CUST2025LL,Instagram,MacBook setup day! Love it 😍,2025-02-01 13:45:31,0.67,Purchase Intent
CUST2025LL,Facebook,Weekly grocery haul from Walmart 🛒,2025-01-12 16:14:46,-0.61,Complaint
CUST2025KD,Twitter,Can't wait for my business trip to London! 🛫,2024-12-11 02:17:21,-0.17,Purchase Intent
CUST2025KD,Instagram,Loving my new Gucci outfit! #fashion #luxury,2024-09-25 00:00:19,-0.69,Feedback
CUST2025NK,Instagram,Netflix & chill kind of evening 🎬,2024-11-30 13:23:47,0.12,General Sentiment
CUST2025NK,Twitter,Test shots with my new Sony Alpha 📸,2024-11-11 02:11:00,0.2,General Sentiment
CUST2025BA,Facebook,GrubHub never disappoints 😋,2025-01-23 06:16:06,-0.04,Feedback
CUST2025BA,Facebook,Trader Joe's has the best snacks!,2024-10-27 01:42:40,-1.0,Feedback
CUST2025BA,Twitter,MacBook setup day! Love it 😍,2024-10-23 20:00:54,0.6,Purchase Intent
CUST2025BA,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-01-09 03:07:19,0.29,General Sentiment
CUST2025WP,Instagram,Exploring some new commercial spaces for my next venture!,2025-02-16 00:41:32,0.11,General Sentiment
CUST2025WP,Facebook,Exploring some new commercial spaces for my next venture!,2024-12-01 18:34:44,-0.05,General Sentiment
CUST2025NS,Facebook,GrubHub never disappoints 😋,2024-09-24 09:17:31,0.68,Feedback
CUST2025NS,Twitter,GrubHub never disappoints 😋,2024-12-29 07:24:08,-0.75,Feedback
CUST2025NS,Instagram,Shopping spree at Louis Vuitton today 💼✨,2024-11-04 02:03:12,-0.84,Purchase Intent
CUST2025YU,Twitter,Equinox workouts hit different 💪,2025-02-14 11:13:57,-0.86,Complaint
CUST2025YU,Twitter,Just binged the new season on Amazon Prime!,2024-12-11 21:42:42,0.08,General Sentiment
CUST2025YU,Instagram,Can't wait for my business trip to London! 🛫,2024-11-21 20:14:58,0.5,Purchase Intent
CUST2025SA,Instagram,Just binged the new season on Amazon Prime!,2024-11-14 20:39:51,0.69,Feedback
CUST2025SA,Facebook,Late night cravings? Uber Eats to the rescue 🍕,2025-02-23 03:15:33,-0.08,Feedback
CUST2025SA,Instagram,Retail leasing is the next big move 🏢,2024-11-09 11:36:14,0.62,Feedback
CUST2025SA,Facebook,Equinox workouts hit different 💪,2025-02-15 23:07:38,0.29,General Sentiment
CUST2025AY,Instagram,Loving my new Gucci outfit! #fashion #luxury,2025-01-08 00:55:11,0.42,Feedback
CUST2025AY,Instagram,Shopping spree at Louis Vuitton today 💼✨,2025-03-09 00:11:37,-0.91,Purchase Intent
CUST2025AY,Twitter,Exploring some new commercial spaces for my next venture!,2025-01-04 09:06:59,-0.38,Complaint
CUST2025AY,Twitter,Shopping spree at Louis Vuitton today 💼✨,2024-11-02 06:19:04,-0.14,Purchase Intent
CUST2025AY,Instagram,MacBook setup day! Love it 😍,2025-01-11 15:58:23,0.17,Purchase Intent
CUST2025EG,Twitter,Test shots with my new Sony Alpha 📸,2024-10-09 08:06:50,-0.7,Complaint
CUST2025EG,Instagram,Retail leasing is the next big move 🏢,2024-11-24 03:19:27,-0.67,Complaint
CUST2025EG,Instagram,Canon EOS is perfect for portraits!,2025-02-21 00:44:29,-0.1,General Sentiment
CUST2025EG,Twitter,Shopping spree at Louis Vuitton today 💼✨,2025-01-04 09:44:44,-0.83,Purchase Intent
CUST2025IF,Facebook,MacBook setup day! Love it 😍,2024-11-07 16:33:57,0.64,Purchase Intent
CUST2025IF,Facebook,Just binged the new season on Amazon Prime!,2025-02-22 09:14:22,-0.02,General Sentiment
CUST2025IF,Facebook,Netflix & chill kind of evening 🎬,2025-03-05 10:14:56,-0.7,Complaint
CUST2025IF,Instagram,Exploring some new commercial spaces for my next venture!,2025-01-30 17:25:26,-0.39,Complaint
CUST2025IF,Twitter,Loving my new Gucci outfit! #fashion #luxury,2024-12-10 17:49:47,0.77,Feedback
CUST2025XC,Facebook,Back on the grind at Planet Fitness 🏋️,2024-09-25 03:29:16,0.09,General Sentiment
CUST2025XC,Instagram,Exploring some new commercial spaces for my next venture!,2025-01-26 18:28:23,0.46,General Sentiment
CUST2025XC,Facebook,MacBook setup day! Love it 😍,2024-11-17 13:48:40,0.11,Purchase Intent
CUST2025XC,Twitter,Test shots with my new Sony Alpha 📸,2024-12-30 09:28:28,0.1,General Sentiment
CUST2025LK,Instagram,Can't wait for my business trip to London! 🛫,2025-03-24 19:05:38,-0.1,Purchase Intent
CUST2025LK,Instagram,Retail leasing is the next big move 🏢,2024-10-01 15:00:20,0.49,General Sentiment
CUST2025LK,Instagram,Just binged the new season on Amazon Prime!,2025-03-20 08:03:56,0.34,General Sentiment
CUST2025LK,Instagram,Canon EOS is perfect for portraits!,2024-10-31 10:59:02,0.71,Feedback
CUST2025LK,Instagram,Shopping spree at Louis Vuitton today 💼✨,2024-11-03 15:33:23,-0.66,Purchase Intent
CUST2025OR,Twitter,GrubHub never disappoints 😋,2025-01-15 19:57:28,-0.88,Feedback
CUST2025OR,Instagram,Shopping spree at Louis Vuitton today 💼✨,2025-02-20 22:43:22,0.78,Purchase Intent
CUST2025YK,Twitter,Equinox workouts hit different 💪,2025-01-27 17:50:43,0.52,General Sentiment
CUST2025YK,Instagram,Back on the grind at Planet Fitness 🏋️,2025-01-11 19:19:31,-0.54,Complaint
CUST2025JU,Twitter,GrubHub never disappoints 😋,2025-02-09 05:42:59,-0.8,Feedback
CUST2025JU,Facebook,Shopping spree at Louis Vuitton today 💼✨,2024-11-08 11:48:20,0.97,Purchase Intent
CUST2025JU,Instagram,Loving my new Gucci outfit! #fashion #luxury,2025-01-05 20:55:08,-0.24,Feedback
CUST2025MQ,Instagram,Exploring some new commercial spaces for my next venture!,2025-03-02 18:05:57,0.13,General Sentiment
CUST2025MQ,Facebook,Shopping spree at Louis Vuitton today 💼✨,2024-12-05 00:25:01,0.39,Purchase Intent
CUST2025MQ,Instagram,Just landed in the Maldives 🌴 #vacationvibes,2025-02-09 11:57:28,0.33,General Sentiment
CUST2025MC,Facebook,Back on the grind at Planet Fitness 🏋️,2025-03-11 15:12:26,-0.21,Complaint
CUST2025MC,Twitter,Late night cravings? Uber Eats to the rescue 🍕,2025-01-01 13:35:55,-0.07,Feedback
CUST2025MC,Facebook,MacBook setup day! Love it 😍,2025-02-16 10:58:19,-0.68,Purchase Intent
CUST2025MC,Instagram,Shopping spree at Louis Vuitton today 💼✨,2024-10-13 14:05:42,-0.42,Purchase Intent
CUST2025MC,Facebook,Can't wait for my business trip to London! 🛫,2024-10-18 08:45:34,0.13,Purchase Intent
CUST2025AL,Twitter,Finally got the new iPhone! 📱,2025-03-17 19:06:56,-0.25,Purchase Intent
CUST2025AL,Facebook,Finally got the new iPhone! 📱,2025-01-09 19:40:13,-0.33,Purchase Intent
CUST2025AL,Twitter,Shopping spree at Louis Vuitton today 💼✨,2025-02-04 01:54:39,0.45,Purchase Intent
CUST2025AL,Twitter,Trader Joe's has the best snacks!,2025-02-27 07:43:34,-0.16,Feedback
CUST2025AL,Facebook,Back on the grind at Planet Fitness 🏋️,2025-01-19 13:48:11,0.93,Feedback
CUST2025IO,Facebook,MacBook setup day! Love it 😍,2025-03-20 13:26:53,-0.67,Purchase Intent
CUST2025IO,Twitter,Shopping spree at Louis Vuitton today 💼✨,2025-03-18 04:03:33,0.61,Purchase Intent
CUST2025IO,Facebook,Loving my new Gucci outfit! #fashion #luxury,2025-02-20 08:25:20,0.35,Feedback
CUST2025IO,Facebook,Just binged the new season on Amazon Prime!,2024-11-04 10:21:00,0.14,General Sentiment
CUST2025US,Twitter,Canon EOS is perfect for portraits!,2025-01-05 13:40:13,-0.6,Complaint
CUST2025WH,Instagram,MacBook setup day! Love it 😍,2025-01-25 00:32:46,0.75,Purchase Intent
CUST2025WH,Instagram,Weekly grocery haul from Walmart 🛒,2025-02-20 01:53:07,-0.04,General Sentiment
CUST2025JS,Twitter,Just landed in the Maldives 🌴 #vacationvibes,2025-02-13 06:27:20,0.84,Feedback
CUST2025JS,Twitter,Trader Joe's has the best snacks!,2025-01-05 18:01:43,0.58,Feedback
CUST2025JS,Twitter,Back on the grind at Planet Fitness 🏋️,2025-02-08 12:03:43,-0.3,Complaint
CUST2025EY,Twitter,Can't wait for my business trip to London! 🛫,2024-12-17 00:54:31,0.89,Purchase Intent
CUST2025EY,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2024-11-15 22:25:00,0.3,General Sentiment
CUST2025EY,Instagram,Shopping spree at Louis Vuitton today 💼✨,2024-09-30 16:56:34,-0.33,Purchase Intent
CUST2025EY,Twitter,Finally got the new iPhone! 📱,2024-10-18 16:31:39,-0.29,Purchase Intent
CUST2025SV,Twitter,Shopping spree at Louis Vuitton today 💼✨,2024-11-10 19:26:37,0.26,Purchase Intent
CUST2025SV,Twitter,Exploring some new commercial spaces for my next venture!,2025-02-08 09:03:36,-0.01,General Sentiment
CUST2025SV,Twitter,Test shots with my new Sony Alpha 📸,2025-03-15 10:24:22,-0.3,Complaint
CUST2025SV,Facebook,Canon EOS is perfect for portraits!,2025-03-03 11:21:59,0.24,General Sentiment
CUST2025SV,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-02-10 23:08:49,-0.69,Complaint
CUST2025AW,Instagram,Netflix & chill kind of evening 🎬,2025-03-19 08:53:51,0.26,General Sentiment
CUST2025AW,Twitter,Exploring some new commercial spaces for my next venture!,2024-12-11 10:21:51,-0.44,Complaint
CUST2025AW,Twitter,Shopping spree at Louis Vuitton today 💼✨,2024-12-29 05:42:13,0.96,Purchase Intent
CUST2025AW,Facebook,GrubHub never disappoints 😋,2024-11-24 08:40:33,-0.38,Feedback
CUST2025ND,Facebook,Netflix & chill kind of evening 🎬,2024-12-24 15:25:41,-0.24,Complaint
CUST2025ND,Instagram,Netflix & chill kind of evening 🎬,2024-11-01 17:32:06,0.6,General Sentiment
CUST2025ND,Twitter,Loving my new Gucci outfit! #fashion #luxury,2024-12-23 15:49:39,0.67,Feedback
CUST2025ND,Facebook,Loving my new Gucci outfit! #fashion #luxury,2025-02-26 15:32:20,-0.63,Feedback
CUST2025ND,Instagram,Just landed in the Maldives 🌴 #vacationvibes,2024-12-26 11:45:23,0.09,General Sentiment
CUST2025QE,Twitter,Back on the grind at Planet Fitness 🏋️,2024-12-28 07:27:32,-0.87,Complaint
CUST2025QE,Twitter,Exploring some new commercial spaces for my next venture!,2025-02-18 05:49:12,0.35,General Sentiment
CUST2025QE,Twitter,Just landed in the Maldives 🌴 #vacationvibes,2025-01-23 10:07:48,0.38,General Sentiment
CUST2025ZX,Facebook,Canon EOS is perfect for portraits!,2024-12-25 19:10:20,0.96,Feedback
CUST2025ZX,Facebook,Canon EOS is perfect for portraits!,2025-03-24 16:04:00,0.57,General Sentiment
CUST2025WE,Twitter,Just landed in the Maldives 🌴 #vacationvibes,2025-01-07 20:34:12,0.06,General Sentiment
CUST2025WE,Facebook,MacBook setup day! Love it 😍,2024-12-23 07:57:54,0.0,Purchase Intent
CUST2025WE,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-02-16 22:44:53,-0.62,Complaint
CUST2025WE,Facebook,Just landed in the Maldives 🌴 #vacationvibes,2025-01-22 05:12:16,0.89,Feedback
CUST2025QP,Twitter,Trader Joe's has the best snacks!,2024-12-02 17:36:50,0.53,Feedback
CUST2025CM,Instagram,Retail leasing is the next big move 🏢,2025-02-08 09:12:38,-0.35,Complaint
CUST2025AQ,Twitter,Back on the grind at Planet Fitness 🏋️,2025-02-11 19:48:18,0.8,Feedback
CUST2025WU,Instagram,Finally got the new iPhone! 📱,2024-10-22 07:46:35,0.98,Purchase Intent
CUST2025NM,Twitter,Equinox workouts hit different 💪,2025-02-22 14:25:24,-0.61,Complaint
CUST2025HY,Facebook,Retail leasing is the next big move 🏢,2024-10-06 16:12:29,0.21,General Sentiment
CUST2025HY,Facebook,Canon EOS is perfect for portraits!,2024-12-21 20:27:58,0.55,General Sentiment
CUST2025NV,Twitter,Equinox workouts hit different 💪,2024-12-15 06:33:59,0.58,General Sentiment
CUST2025SX,Facebook,Just binged the new season on Amazon Prime!,2024-10-03 14:36:40,0.9,Feedback
CUST2025LV,Instagram,Canon EOS is perfect for portraits!,2025-02-02 13:36:21,-0.63,Complaint
CUST2025LV,Instagram,Late night cravings? Uber Eats to the rescue 🍕,2024-09-30 08:53:38,0.96,Feedback
CUST2025LV,Instagram,Canon EOS is perfect for portraits!,2024-12-06 01:00:37,-0.81,Complaint
CUST2025LV,Instagram,Back on the grind at Planet Fitness 🏋️,2024-10-05 21:13:58,0.02,General Sentiment
CUST2025LV,Facebook,Netflix & chill kind of evening 🎬,2024-11-28 19:56:36,-0.66,Complaint
CUST2025GG,Twitter,Exploring some new commercial spaces for my next venture!,2025-01-21 05:33:22,0.41,General Sentiment
CUST2025GG,Instagram,Shopping spree at Louis Vuitton today 💼✨,2025-03-01 20:20:42,-0.26,Purchase Intent
CUST2025GG,Instagram,Netflix & chill kind of evening 🎬,2024-12-31 11:50:03,0.66,Feedback
CUST2025GG,Facebook,Netflix & chill kind of evening 🎬,2025-02-26 22:39:43,0.85,Feedback
CUST2025ID,Twitter,Loving my new Gucci outfit! #fashion #luxury,2024-11-04 09:15:35,-0.99,Feedback
CUST2025ID,Twitter,Finally got the new iPhone! 📱,2024-12-03 09:21:01,-0.21,Purchase Intent
CUST2025ID,Instagram,MacBook setup day! Love it 😍,2025-02-05 04:40:23,-0.89,Purchase Intent
CUST2025GX,Twitter,MacBook setup day! Love it 😍,2025-02-25 13:40:23,-0.83,Purchase Intent
CUST2025GX,Instagram,Exploring some new commercial spaces for my next venture!,2025-01-08 16:02:58,0.97,Feedback
CUST2025GX,Twitter,Late night cravings? Uber Eats to the rescue 🍕,2025-02-12 00:47:29,-0.16,Feedback
CUST2025RX,Instagram,Just binged the new season on Amazon Prime!,2025-01-24 17:51:17,0.95,Feedback
